x,y,token
-32.299,20.508324,show
9.802576,-60.017624,struck
-45.714565,15.207811,everything
-5.814798,-59.30731,drew
-3.0716705,-53.01898,shut
20.76035,20.234674,ear
-41.92752,-35.844055,talked
49.9019,12.8445835,offered
24.380787,62.347595,48
-69.48993,1.0192182,obliged
33.577854,2.2229028,service
7.559549,-42.45825,seat
-53.34771,-9.695204,particular
59.3702,34.376785,inhabitants
66.6096,7.022182,forty
48.431515,-16.564615,grass
-6.833941,58.02349,Shall
-21.851242,-14.263032,form
46.365982,-39.630554,cloud
60.27005,26.498575,east
46.82047,-40.676815,stars
-64.323845,-29.054474,Wentworth
7.8177266,-51.228497,heavy
51.894608,38.934135,Joshua
-10.590778,-60.34182,walking
-52.646694,14.322271,appear
-7.0642786,58.30196,Will
55.60926,22.787958,mountain
